review,rating
Barang pesanan telah meluncur dengan selamat ,5
brg ssuai psnn..trmksh lazada,5
"Ternyata cameranya tidak HD,...AKU PSANG DI TV HD MOBIL SAYA TIDAK BISA TAMPIL.....TAPI SETELAH AKU COBA CCTV YANG HD BISA TAMPIL
Mungkin temen yang beli ngasih komentar nyala TV nya blom HD
KECEWA BERAT....!",5
mantap barang sampai dengan selamat,5
pokoknya puas,5
"tidak komplit kabenya.
kamera modipake di mobil bukan di sepada😥",5
"kamera nya udah datang, cuman gaada kabel nya mohon teliti ya ",5
barang sudah diterima dengan baik Dan sudah dipasang nyala sempurna.,5
"paketsampai dengan selmat,OK,,mantap...",5
"barang sdh kami terima tapi kabelnya tdk ada,sementara diiklannya sudah termasuk kabelnya BAGAI MANA ITU?????
",5
barang sesuai pesanan seller ramah kurir ramah pengiriman sesuai prosedur mantaplah terima kasih lazada ,5
"proses dan pengiriman cepat,barang bagus.
trims.",5
"barang udah sampai,",5
Lumayanlah untuk siang saja. Kalau malem agak buram karena kurang cahaya dan hanya bisa lihat jarak dekat saja.,5
barang bagus sdh terpasang..,4
oc siiip ,5
okay makasih ya,5
"Alhamdulillah...
paket sdh sampai dgn selamat,
kurir ramah...
sukses selalu buat semuanya....
",5
Sayang gak ada kabel sambungannys,3
"Over all,cukup puas...
thanks....",5
kurang lengkap postingannya,3
ya .........,5
sip,5
Mantul,5
